FID,ID,Nimi,Namn,Name,Osoite,Adress,Kaupunki,Stad,Operaattor,Kapasiteet,x,y
146,148,Juhana Herttuan tie,Hertig Johans väg,Juhana Herttuan tie,Antti Korpin tie 3a,Anders Korps väg 3a,Helsinki,Helsingfors,CityBike Finland,16,24.9664619,60.2184427
147,149,Toinen linja,Andra linjen,Toinen linja,Toinen linja 25,Andra linjen 25,Helsinki,Helsingfors,CityBike Finland,22,24.9441949,60.183164
148,150,Töölönlahden puisto,Tölöviksparken,Töölönlahden puisto,Karamzininranta 4,Karamzins strand  4,Helsinki,Helsingfors,CityBike Finland,29,24.9338701,60.1766793
149,161,Eteläesplanadi,Södra Esplanaden,Eteläesplanadi,Eteläesplanadi 14,Södrä Esplanaden 14,Helsinki,Helsingfors,CityBike Finland,34,24.94746581951,60.16723083051
150,162,Leppäsuonaukio,Alkärrsplatsen,Leppäsuonaukio,Leppäsuonaukio 1,Alkärrsplatsen 1,Helsinki,Helsingfors,CityBike Finland,24,24.92659049777,60.16957343209
151,163,Lehtisaarentie,Lövövägen,Lehtisaarentie,Lehtisaarentie 2a,Lövövägen 2a,Helsinki,Helsingfors,CityBike Finland,12,24.85053677106,60.18147257752
152,200,Länsiterminaali,Västra terminalen,West Terminal,Sammonlaituri,Sampokajen,Helsinki,Helsingfors,CityBike Finland,24,24.9158626673682,60.1503956286203
153,201,Länsisatamankuja,Västrahamnsgränden,Länsisatamankuja,Länsisatamankatu 26,Västrahamnsgatan 26,Helsinki,Helsingfors,CityBike Finland,16,24.9122004401749,60.1569319135957
154,202,Merihaka,Havshagen,Merihaka,Hakaniemenranta 10,Hagnäskajen 10,Helsinki,Helsingfors,CityBike Finland,17,24.9584522150463,60.1780659282697
155,203,Opastinsilta,Semaforbron,Opastinsilta,Opastinsilta 10,Semaforbron 10,Helsinki,Helsingfors,CityBike Finland,40,24.9378263708758,60.199235425819
156,204,A.I. Virtasen aukio,A. I. Virtanens plats,A.I. Virtasen aukio,Gustaf Hällströmin katu 1,Gustaf Hällströms gata 1,Helsinki,Helsingfors,CityBike Finland,1,24.962152,60.205577
