X,Y,FID,TERMINAALI,NIMI,SOLX,SOLY,SOLOMX,SOLOMY,LYHYTTUNNUS,VERKKO,PYSAKIT
24.470179744428485,60.117760364927491,100,6000204,Tolsan asema,6667426,2526321,60.117763,24.470196, ,4,"6010505,6010555"
24.438999647780186,60.119599626056804,101,6000205,Kirkkonummen asema,6667619,2524586,60.119603,24.439015, ,4,"6010501,6010551"
24.219382486671925,60.140429668628535,102,6300299,Siuntion asema,6669879,2512368,60.140432,24.219400, ,4, 
25.10504395508239,60.404453139793105,103,9000001,Kerava,6699786,2561084,60.404455,25.105055, ,1,"9040200,9040202,9040208,9040220,9040224,9040234,9040227,9040228,9040229,9040230"
25.09768350544763,60.380386628467463,104,9000201,Savion asema,6697098,2560723,60.380389,25.097695, ,4,"9090501,9090502"
25.105967249679747,60.404391622495012,105,9000202,Keravan asema,6699780,2561135,60.404394,25.105978, ,4,"9040501,9040502"
25.269667872568863,60.379611723966406,106,9200001,Nikkilän linja-autoasema,6697182,2570210,60.379615,25.269679, ,1,"9222201,9222202,9222232,9222234,9222235"
25.09007640866183,60.473403496267672,107,9500001,Järvenpään asema,6707454,2560132,60.473406,25.090088, ,1,"9500200,9500235,9500236"
25.101520367708872,60.456964455932024,108,9500297,Ainola,6705633,2560792,60.456965,25.101526, ,4,"5010509,5010559"
25.090669851280833,60.473748703859741,109,9500298,Järvenpää,6707493,2560164,60.473748,25.090678, ,4,"5010503,5010553"
25.065607502113892,60.487441838256657,110,9500299,Saunakallio,6708996,2558761,60.487442,25.065624, ,4,"5010510,5010560"
25.028323648099818,60.401997665459291,111,9600001,Hyrylä,6699444,2556860,60.402000,25.028330, ,1,"5000224,5010201"
24.971004574297986,60.552805926185023,112,9600201,Jokela,6716198,2553453,60.552804,24.971017, ,4,"5010504,5010554"
