Selite_en,Longitude,Latitude,N_GK25,E_GK25,Name_fi,Name_en
daycare,25.042545,60.230244,6679726,25502358,Päiväkoti Satakieli,Day care Satakieli
daycare,24.888374,60.205757,6677002,25493810,"Päiväkoti Aurinkoinen, Steinerpk","Day care Aurinkoinen, Steinerpk"
daycare,24.79119,60.174927,6673580,25488410,Metsolan avoin päiväkoti Karhunpesä,
daycare,25.046963,60.305,6688055,25502596,Päiväkoti Käpälämäki,
daycare,24.94391,60.249474,6681869,25496894,Päiväkoti Miilu,Day care Miilu
daycare,24.942476,60.259087,6682940,25496815,Norlandia Luonnossa kotonaan Peiponpesä,Day care Luonnossa kotonaan Peiponpesä
daycare,24.809786,60.22841,6679536,25489459,Kyyhkyspuiston päiväkoti,
daycare,24.95647,60.287407,6686095,25497592,Lystilän päiväkoti,
daycare,25.080841,60.205994,6677026,25504483,Päiväkoti Vaapukka,Day care Vaapukka
daycare,25.073551,60.318546,6689566,25504065,Havukallion päiväkoti,
daycare,24.913065,60.159145,6671807,25495172,Päiväkoti Fregatti,Day care Fregatti
daycare,24.955055,60.180862,6674224,25497506,Päiväkoti Sörkka,Day care Sörkka
daycare,24.72332,60.232235,6679979,25484670,Lippajärven päiväkoti,
daycare,24.704601,60.23777,6680600,25483635,Auroranportin päiväkoti,
daycare,25.026886,60.18944,6675179,25501492,Päiväkoti Laivakello,Day care Laivakello
daycare,24.850693,60.322617,6690027,25491750,Lipunkantajan päiväkoti,
daycare,25.00273,60.255096,6682494,25500151,Päiväkoti Aapiskukko,Day care Aapiskukko
daycare,24.811998,60.25753,6682780,25489591,Karhunpesän päiväkoti,
daycare,24.920164,60.23526,6680287,25495577,Päiväkoti Pikku-Marjatta,Day care Pikku-Marjatta
daycare,24.918308,60.284416,6685764,25495481,Peltovuoren päiväkoti,
daycare,25.111595,60.29504,6686950,25506171,Itä-Hakkilan päiväkoti,
daycare,24.851532,60.227142,6679389,25491772,Päiväkoti Taneli,Day care Taneli
daycare,24.763071,60.168434,6672862,25486847,Niittykummun päiväkoti,Niittykummun päiväkoti
daycare,24.655052,60.17653,6673791,25480855,Ryhmäperhepäiväkoti Lehtikuusi,
daycare,24.774164,60.22267,6678903,25487483,Kuninkaisten päiväkoti,
daycare,24.851683,60.26428,6683526,25491790,Pyörrekujan väistötilapäiväkoti,
daycare,25.102375,60.27273,6684464,25505665,Heporinteen päiväkoti,
daycare,24.961605,60.1802,6674150,25497869,Päiväkoti Kaisla,Day care Kaisla
daycare,24.652315,60.14869,6670690,25480686,Merenkulkijan päiväkoti,
daycare,24.973843,60.16685,6672663,25498548,"Päiväkoti Ankkalampi, Katajanokka","Day care Ankkalampi, Katajanokka"
daycare,24.738863,60.189915,6675261,25485512,Opinmäen päiväkoti,
daycare,25.138493,60.203846,6676792,25507680,Montessoripäiväkoti Mammolina Vuosaari,Day care Mammolina Vuosaari
daycare,24.926908,60.195675,6675876,25495946,Päiväkoti Agape,Day care Agape
daycare,25.013851,60.186954,6674902,25500769,Päiväkoti Kulosaari,Day care Kulosaari
daycare,24.858202,60.277676,6685018,25492154,Raikupolun päiväkoti,
daycare,24.807568,60.212967,6677816,25489331,Kepelin ympärivuorokautinen päiväkoti,
daycare,25.11671,60.302036,6687730,25506453,Norlandia Päiväkoti Karuselli,
daycare,24.680424,60.174732,6673583,25482262,Pisan päiväkoti,
daycare,24.873169,60.217342,6678295,25492969,Päiväkoti Mestari,Day care Mestari
daycare,24.616026,60.163887,6672394,25478680,Saunarannan päiväkoti,
daycare,24.883324,60.151386,6670945,25493519,"Päiväkoti Ankkalampi Duckies, Vattuniemi","Day care Ankkalampi Duckies, Vattuniemi"
daycare,24.96465,60.20968,6677435,25498040,Päiväkoti Marjala,Day care Marjala
daycare,24.722292,60.236385,6680442,25484615,Heiniemen päiväkoti,
daycare,24.825396,60.213333,6677854,25490320,Everstinkadun päiväkoti,
daycare,24.669237,60.18119,6674306,25481644,Ryhmäperhepäiväkoti Pihlaja,
daycare,25.036814,60.264484,6683541,25502038,Päiväkoti Falkullan Montessorileikkikoulu Kukonaskel,Day care Falkullan Montessorileikkikoulu Kukonaskel
daycare,24.80508,60.264458,6683553,25489210,Pähkinänsärkijän päiväkoti,
daycare,24.714134,60.219692,6678584,25484155,Päiväkoti Pikku Akatemia,
daycare,25.01225,60.236378,6680409,25500679,Päiväkoti Pihlajamäki,Day care Pihlajamäki
daycare,24.822237,60.21522,6678065,25490145,Lipunkantajanpolun päiväkoti,
daycare,24.954853,60.264954,6683594,25497501,Päiväkoti Kotitorppa,Day care Kotitorppa
daycare,25.030724,60.308037,6688393,25501698,Ryhmäperhepäiväkoti Fantti,
daycare,24.837313,60.19081,6675343,25490974,Päiväkoti Petunia,Päiväkoti Petunia
daycare,24.860283,60.281796,6685477,25492270,Kivimäen päiväkoti,
daycare,24.856705,60.169777,6672997,25492045,Daghemmet Bamse Ankas Språkbad,Day care Bamse språkbad
daycare,25.035954,60.31442,6689104,25501987,Malminiityn päiväkoti,
daycare,25.043089,60.1769,6673783,25502392,Päiväkoti Yliskylä,Day care Yliskylä
daycare,24.776402,60.2323,6679975,25487611,Laulurastas ryhmäperhepäiväkoti,
daycare,24.671106,60.20087,6676498,25481759,Päiväkoti Pellava,
daycare,24.883593,60.152264,6671043,25493534,Päiväkoti Melkko,Day care Melkko
daycare,24.592659,60.189354,6675239,25477400,Kauklahden päiväkoti,
daycare,24.910357,60.278606,6685117,25495040,Ollaksen päiväkoti,
daycare,24.80662,60.23822,6680630,25489287,Lintuvaaran päiväkoti,
daycare,24.678692,60.194653,6675803,25482177,Sunakatin päiväkoti,
daycare,25.030138,60.198677,6676209,25501672,Päiväkoti Herttoniemen Montessori-leikkikoulu,Day care Herttoniemen Montessori-leikkikoulu
daycare,24.84193,60.27841,6685102,25491254,Laajavuoren päiväkoti,
daycare,25.067284,60.32226,6689980,25503718,Rautpihan päiväkoti,
daycare,24.713226,60.241016,6680960,25484115,Puutarhurin päiväkoti,
daycare,24.798029,60.167046,6672701,25488787,Kardemumma ryhmäperhepäiväkoti,Kardemumma ryhmäperhepäiväkoti
daycare,25.077236,60.325165,6690303,25504267,Kustaantien päiväkoti,
daycare,25.088835,60.347954,6692844,25504905,Näätäpuiston päiväkoti,
daycare,24.935982,60.24566,6681444,25496454,Päiväkoti Havukka,Day care Havukka
daycare,25.106758,60.27449,6684660,25505908,Aisakellon päiväkoti,
daycare,24.749523,60.14856,6670651,25486086,Nokkalanpuiston päiväkoti,
daycare,25.076553,60.260094,6683053,25504238,Päiväkoti Naava,Day care Naava
daycare,24.818104,60.177715,6673887,25489905,Otsolahden päiväkoti,Otsolahden päiväkoti
daycare,24.779078,60.282673,6685587,25487778,Kimaran päiväkoti,
daycare,24.870335,60.28327,6685640,25492827,Vantaanlaakson päiväkoti,
daycare,24.971914,60.208946,6677353,25498443,Päiväkoti Floora,Day care Floora
daycare,24.816381,60.225098,6679166,25489824,Ajurinmäen päiväkoti,
daycare,24.880354,60.233555,6680100,25493371,Päiväkoti Niitty,Day care Niitty
daycare,25.041245,60.273533,6684549,25502282,Päiväkoti Klaara,Day care Klaara
daycare,25.041157,60.311577,6688788,25502275,Päiväkoti Touhula-Hiekkaharju,
daycare,24.670067,60.19977,6676376,25481701,Sokinvuoren päiväkoti,
daycare,24.72956,60.169968,6673040,25484987,Ellipsin päiväkoti,
daycare,24.846004,60.268425,6683989,25491477,Koskikujan päiväkoti,
daycare,24.805264,60.206112,6677053,25489201,Päiväkoti Pupuna Pilkepäiväkodit,Päiväkoti Pupuna Pilkepäiväkodit
daycare,24.818584,60.228912,6679591,25489947,Vallipuiston päiväkoti,
daycare,24.91328,60.162838,6672218,25495185,Päiväkoti Troolari,Day care Troolari
daycare,24.82397,60.256893,6682707,25490254,Nikkarin päiväkoti,
daycare,24.9861,60.147106,6670463,25499228,Päiväkoti Suomenlinna,Day care Suomenlinna
daycare,24.841026,60.233395,6680087,25491192,Päiväkoti Karhi,Day care Karhi
daycare,24.964947,60.214203,6677938,25498057,Päiväkoti Kumpula,Day care Kumpula
daycare,25.08267,60.166313,6672605,25504590,Päiväkoti Poikkilaakso,Day care Poikkilaakso
daycare,24.776524,60.217697,6678348,25487612,Torppa ryhmäperhepäiväkoti,
daycare,25.100842,60.27765,6685011,25505580,Ryhmäperhepäiväkoti Kindermaa,
daycare,24.789425,60.203854,6676804,25488322,Päiväkoti Sateenkaari,Päiväkoti Sateenkaari
daycare,24.713024,60.24651,6681572,25484106,Ryhmäperhepäiväkoti Kulloonrinne,
daycare,25.018337,60.24923,6681841,25501016,Päiväkoti Suvi,Day care Suvi
daycare,24.81264,60.234367,6680199,25489619,Lintukulman päiväkoti,
daycare,24.918875,60.160725,6671983,25495495,Päiväkoti Ruoholahden lastentalo,Day care Ruoholahden lastentalo
daycare,24.98527,60.24453,6681317,25499184,Päiväkoti Sinivuori,Day care Sinivuori
daycare,25.026052,60.275364,6684753,25501442,Päiväkoti Pikkuprinssi,Day care Pikkuprinssi
daycare,24.774216,60.2227,6678906,25487486,Keijut ryhmäperhepäiväkoti,
